asin,title,original_price,discounted_price,rating,weight,brand,categories
B0002KKIR8,"303 Products 30510 Convertible Vinyl Top Cleaning and Care Kit - Cleans And Protects Vinyl Tops - Includes Tonneau Cover And Convertible Top Cleaner 16 fl. oz. + Automotive Protectant 16 fl. oz.,,Blue",39.99,30.36,4.50,2.5000000000,‎303 Products,Automotive>CarCare
B0002KKTT0,"Loctite 222 Threadlocker for Automotive: High-Temperature, Low-Strength, Anaerobic, One-Piece Assembly, Non-Corrosive, Locks and Seals | Purple, 6 ml Tube (PN: 38653-555339)",10.99,8.99,4.80,0.0006250000,‎Loctite,Automotive>CarCare
B0002SQUTU,"Lisle 25750 Dual Piston Brake Caliper Compressor, metal",76.95,42.15,4.70,1.9000000000,Lisle,Automotive>Tools&Equipment
B0002SQYUA,"Mityvac MV8500 Silverline Elite Automotive Test Kit Provides both Vacuum and Pressure to Perform Engine Performance Diagnostics, Brake Bleeding, Fluid Transfer, Evacuation, Windshield Repair Jobs",149.19,91.95,4.60,4.9000000000,Mityvac,Automotive>Tools&Equipment
B0002SREPY,Lisle 30800 CV Boot Clamp Pliers,35.95,24.49,4.70,0.7700000000,Lisle,Automotive>Tools&Equipment
B0002STSC6,"Lisle 20610 Inline Spark Tester, One Size, Factory",18.10,12.12,4.70,0.2500000000,Lisle,Automotive>Tools&Equipment
B0002U1TZS,Mothers 08408 California Gold Scratch Remover - 8 oz.,18.69,9.50,4.10,0.6625000000,‎Mothers,Automotive>CarCare
B0002UEN1A,"Permatex 81160 High-Temp Red RTV Silicone Gasket, 3 oz",15.38,11.77,4.70,0.2006250000,‎Permatex,Automotive>CarCare
B0002UEOPA,"Permatex 81878 Ultra Copper Maximum Temperature RTV Silicone Gasket Maker, 3 oz. Tube",9.73,8.59,4.80,0.1873927000,‎Permatex,Automotive>CarCare
B0002YUQ4E,Simichrome 390050 All Metal Polish Tube - 1.76 oz.,14.95,12.77,4.70,0.0500007816,‎Simichrome,Automotive>CarCare
B0004ELKC4,"303 Products Marine Aerospace Protectant – UV Protection – Repels Dust, Dirt, & Staining – Smooth Matte Finish – Restores Like-New Appearance – 16 Fl. Oz. (30340CSR)",19.99,15.99,4.60,1.0000000000,‎303 Products,Automotive>CarCare
B000637TE6,"Lexol Leather Cleaner, Use on Furniture, Car Interiors, Shoes, Handbags, Accessories, 33.8 Fl Oz Each",19.39,17.19,4.60,2.3600000000,‎Lexol,Automotive>CarCare
B0006FKDVK,"Collinite No. 850 Metal Wax, 16 Fl Oz - 1 Pack",19.40,15.49,4.60,0.3750000000,‎COLLINITE,Automotive>CarCare
B0006GBTP8,3M 05928 Finesse-It II Machine Polish 1 Quart,84.75,55.99,4.70,2.0000000000,3M,Automotive>CarCare
B0006IRTU0,"Melissa & Doug Geometric Stacker - Wooden Educational Toy - Shape Sorter And Stacking Toy, Stacking Tower Toy For Babies, Toddlers And Kids Ages 2+, Multicolor, Playsets",22.99,13.01,4.80,1.8000000000,Generic,Toys&Games>Baby&ToddlerToys
B0006Z9SPM,"Armor All Original Protectant Spray by Armor All, Car Interior Cleaner with UV Protection to Fight Cracking & Fading, 4 Oz",4.89,4.07,4.60,0.2625000000,‎Armor All,Automotive>CarCare
B0006Z9SQQ,"Armor All Car Interior Cleaner Wipes, Car Interior Cleaning Wipes for Dirt and Dust in Cars, Trucks and Motorcycles, 25 Count",7.29,5.29,4.50,0.0006250000,Armor All,Health&Household>HouseholdSupplies
B00079LN1Y,"Gardner Bender GS-388 Electrical Pliers, Crimper & Cutter, Comfort Grip, Aluminum & Copper Wire, Hand Tool, 8 in. , Red",21.74,14.76,4.50,0.6500000000,Gardner Bender,Automotive>Tools&Equipment
B0007KK24M,Scosche FD16B Compatible with Select 1998-2004 Ford Power/Speaker Connector / Wire Harness for Aftermarket Stereo Installation with Color Coded Wires White,12.99,9.99,4.60,0.0500000000,Scosche,Automotive>CarElectronics&Accessories
B00094C6AO,Stanley Bostitch Heavy Duty 1-Hole Electric Pencil Sharpener with Auto Stop Mechanism (EPS8HD-BLK),33.19,20.03,4.40,0.0006250000,Stanley Bostitch,"Arts,Crafts&Sewing>Painting,Drawing&ArtSupplies"
B0009F3O18,"Neutrogena Makeup Remover Facial Cleansing Towelettes, Daily Face Wipes Remove Dirt, Oil, Sweat, Makeup & Waterproof Mascara, Gentle, Soap- & Alcohol-Free, 100% Plant-Based Cloth, 25 ct",9.99,5.67,4.70,0.4375000000,Neutrogena,Beauty&PersonalCare>Makeup
B0009JKGJ2,"Turtle Wax T-241A Polishing Compound & Scratch Remover - 10.5 oz. , White",8.48,7.45,4.30,0.7500000000,‎Turtle Wax,Automotive>CarCare
B0009OMYB0,Lisle 22500 Thermostat Gasket Cleaner,25.95,19.60,4.60,0.3312500000,‎Lisle,Automotive>CarCare
B0009RF9KK,"Lactaid Fast Act Lactose Intolerance Chewables with Lactase Enzymes, Vanilla, 60 Count (Pack of 1)",21.83,14.99,4.80,0.1750000000,Lactaid,Health&Household>HealthCare
B000A0OW1I,"IRWIN VISE-GRIP V-Jaw Locking Pliers, 8-Inch (2078108) , Blue",23.86,13.40,4.80,0.3990362200,IRWIN,Automotive>Tools&Equipment
B000AOMQ80,"Slime 10008 Flat Tire Puncture Repair Sealant, Prevent and Repair, Tubeless Mower and ATV Tires, Non-Toxic, eco-Friendly, 24 oz Bottle",18.99,12.84,4.40,1.7000000000,Slime,Automotive>Tools&Equipment
B000B8Y016,22 Super Deluxe Snowbrush,12.42,3.67,4.40,0.2500000000,‎Subzero,Automotive>CarCare
B000BNCA4K,"Manhattan Toy Winkel Rattle & Sensory Teether Toy, Blue/Green/Orange, 5 Inch x 4 Inch x 3.5 Inch",14.00,9.99,4.80,0.2418750000,Manhattan Toy,Toys&Games>Baby&ToddlerToys
B000BO6MFC,Blue Magic 850 Leather Cream Conditioner - 16 fl. oz.,12.99,11.25,4.60,1.0000000000,‎Blue Magic,Automotive>CarCare
B000BO8Z9I,Blue Magic 400 7Oz Mtl Polish Cream,12.95,11.99,4.60,0.4409240000,‎Blue Magic,Automotive>CarCare
B000BPIM1I,"Roebic K-97 Main Line Cleaner, Exclusive Bacteria Digests Paper, Fats, and Grease in Sewer and Septic Systems, 32 Ounces(Packaging May Vary)",9.99,7.97,4.20,1.0000000000,Roebic,Health&Household>HouseholdSupplies
B000BPTVTK,"Rain-X White RX11806D Washer Fluid Additive-16.9 fl. oz, 500. ml",6.99,6.01,4.60,0.0187500000,‎Rain-X,Automotive>CarCare
B000BQYH6Q,"Hopkins FloTool 11930MI Heavy Duty Wheel Chock, (Pack of 2)",11.19,7.89,4.40,0.4375000000,FloTool,Automotive>Tools&Equipment
B000C6RCD0,"Prismacolor Premier Colored Pencils, Soft Core, 36 Pack",32.82,27.80,4.80,0.7500000000,Prismacolor,"Arts,Crafts&Sewing>Painting,Drawing&ArtSupplies"
B000CFNS3E,"Forney 30705 E7018 Welding Rod, 3/32-Inch, 5-Pound",26.99,21.88,4.40,5.2000000000,Forney,Automotive>Tools&Equipment
B000CIPHUI,"Battery Tender 4 Bank Battery Charger and Maintainer, 12 Volt 1.25 AMP for Motorcycles, ATVs, Lawn Mowers",239.95,184.95,4.70,0.2006250000,Battery Tender,Automotive>Tools&Equipment
B000CMDPC6,"OEMTOOLS 25254 Oil Pressure Switch Socket, 1/2 Drive | Fits 1 Inch and 1-1/16 Inch Oil Pressure Switches | Accepts Oil Pressure Sending Units Up to 2-5/8 Inches Long | Chromed Steel",13.09,9.08,4.60,0.5500000000,OEMTOOLS,Automotive>Tools&Equipment
B000DEN3PM,"Permatex 27140 High Strength Threadlocker Red, 36 ml",27.01,20.97,4.70,0.1000000000,‎Permatex,Automotive>CarCare
B000E3BZUW,"Alba Botanica Hawaiian Oil Free Moisturizer, Refining Aloe & Green Tea, 3 Oz",16.49,13.44,4.60,0.1875000000,Alba Botanica,Beauty&PersonalCare>SkinCare
B000E9Z49Y,MOTHERS 06624 re|Vision Glass+Surface Cleaner - 24 oz.,8.99,6.68,4.50,1.7500000000,‎Mothers,Automotive>CarCare
B000EGOG46,"Queen Helene Cocoa Butter Hand & Body Lotion, 32 Oz (Packaging May Vary)",4.99,3.98,4.50,2.0000000000,Queen Helene,Beauty&PersonalCare>SkinCare
B000EVU8J8,Innova 5568 Pro Digital Timing Light with Storage Case,214.29,109.99,4.60,0.5000000000,Innova,Automotive>Tools&Equipment
B000EVYGV4,Innova 3568 Digital Timing Light,143.27,77.71,4.60,0.5000000000,Innova,Automotive>Tools&Equipment
B000EW0KHW,INNOVA 3145 Ford Digital OBD1 Code Reader,43.27,33.99,4.40,0.5375000000,Innova,Automotive>Tools&Equipment
B000F5IB60,"Spectrum Diversified Euro Holder for Kitchen Countertops, Bars & Dining Tables Steel Paper Towel Stand, Fits Standard & Jumbo Rolls, 1 Count, Chrome",11.98,10.01,4.70,1.0000000000,Spectrum Diversified,Home&Kitchen>Kitchen&Dining
B000F6F99G,"Maxsa 37312 Park Right Dual Laser Parking Guide, Silver",41.95,29.95,4.30,0.7000000000,Maxsa Innovations,Automotive>Tools&Equipment
B000FGGG34,"Duracell Ion Speed 1000-Battery-Charger for AA and AAA-batteries, Includes 4 Pre-Charged AA-Rechargeable-Batteries, for Household and Business Devices",22.99,17.35,4.60,0.5687500000,DURACELL,Health&Household>HouseholdSupplies
B000FPYW4K,Lisle 58430 Shaft Type Seal Puller,26.15,17.67,4.50,0.4000000000,‎Lisle,Automotive>Tools&Equipment
B000GCQ04C,"Dickinson's Original Witch Hazel Pore Perfecting Toner, 100% Natural, 16 Ounce Fragrance free",7.99,4.94,4.70,1.0500000000,Dickinson's,Beauty&PersonalCare>SkinCare
B000GP0VIU,"Bostitch Office Wall Mount Manual Pencil Sharpener, Tip Saver, 8 Hole Dial, 6X Longer Cutter Life, Vertical or Horizontal Mounting Black (MPS1-BLK)",22.69,13.59,4.60,0.7500000000,Bostitch Office,"Arts,Crafts&Sewing>Painting,Drawing&ArtSupplies"
B000H3I2JG,"Revlon Pencil Eyeliner, ColorStay Eye Makeup with Built-in Sharpener, Waterproof, Smudge-proof, Longwearing with Ultra-Fine Tip, 202 Black Brown, 0.01 oz",10.29,6.49,4.50,0.0112500000,REVLON,Beauty&PersonalCare>Makeup
B000HBGK7O,"Permatex 82195 Ultra Grey Rigid High-Torque RTV Silicone Gasket Maker, Sensor Safe And Non-Corrosive, For High Torque And Vibration Resistant Applications, 13 oz",24.58,13.42,4.80,0.8800000000,‎Permatex,Automotive>CarCare
B000HBGL14,Permatex 54540 Pneumatic and Hydraulic Sealant - 1.22 oz.,35.70,30.70,4.70,0.0762500000,‎Permatex,Automotive>CarCare
B000HBGLDM,"Permatex 51845 Anaerobic Gasket Maker, 300 ml Cartridge, Red",85.11,69.23,4.80,0.8687500000,‎Permatex,Automotive>CarCare
B000HBI9UK,"Fast Orange Permatex 25217 Pumice Lotion, Heavy Duty Hand Cleaner, Natural Citrus Scent, Waterless Cleaner For Mechanics, Strong Grease Fighter, 1/2 Gallon, Orange, 64 Fl Oz (Pack of 1)",11.61,7.47,4.80,2.0000000000,‎Fast Orange,Automotive>CarCare
B000HGIQRG,"Basis Sensitive Skin Bar Soap - Cleans and Soothes with Chamomile and Aloe Vera, Use as Body Wash or Hand Soap - Pack of 6",11.94,10.74,4.60,1.5000000000,Basis,Beauty&PersonalCare>SkinCare
B000HIBPV8,"Nit Free Terminator Comb, Professional Stainless Steel Louse and Nit Comb for Head Treatment, COLORS MAY VARY",19.95,12.94,4.60,0.1312500000,Nit Free,Health&Household>HealthCare
B000HYL20G,"Titan 11061 Mini Magnetic Parts Tray, 4-1/4"" Round",7.99,6.38,4.80,0.0006250000,‎Titan,Automotive>Tools&Equipment
B000I1Y75K,Bliss Fab Foaming 2-In-1 Cleanser and Exfoliator with Bamboo Buffers - 6.4 Fl Oz - Oil-Free Gel Face Wash - Makeup Remover - Vegan & Cruelty Free,24.00,15.96,4.30,0.4000000000,Bliss,Beauty&PersonalCare>SkinCare
B000I5MNC0,Faber-Castell 9000 Graphite Sketch Pencil Sets Art 8B - 2H set of 12,22.00,14.98,4.90,0.0396250000,Faber-Castell,"Arts,Crafts&Sewing>Painting,Drawing&ArtSupplies"
B000IDSLOG,Vulli Sophie la Girafe,29.48,26.89,4.70,0.2625000000,Sophie la girafe,Toys&Games>Baby&ToddlerToys
B000IGU27W,"8 Posca Paint Markers, 3M Fine Posca Markers with Reversible Tips, Posca Marker Set of Acrylic Paint Pens | Posca Pens for Art Supplies, Fabric Paint, Fabric Markers, Paint Pen, Art Markers",30.49,18.50,4.70,0.2625000000,Uni Posca,"Arts,Crafts&Sewing>Painting,Drawing&ArtSupplies"
B000J2EN4S,"Belkin Power Strip Surge Protector - 12 AC Multiple Outlets & 8 ft Long Flat Plug Heavy Duty Extension Cord for Home, Office, Travel, Computer Desktop, Laptop & Phone Charging Brick (3,940 Joules)",27.99,24.99,4.80,2.2000000000,Belkin,Electronics>Accessories&Supplies
B000JCCT9Y,"Energizer Max D Batteries, Premium Alkaline D Cell Batteries (8 Battery Count)",19.98,14.98,4.80,0.3262500000,Energizer,Health&Household>HouseholdSupplies
B000JN4CR0,"NOW Supplements, D-Mannose 500 mg, Non-GMO Project Verified, Healthy Urinary Tract*, 120 Veg Capsules",31.99,16.79,4.70,0.2643750000,NOW,Health&Household>HealthCare
B000JNRPRO,"IRWIN Tools VISE-GRIP Groove Joint Pliers, Curved Jaw, 6-Inch (2078506)",15.45,8.99,4.60,0.4312500000,IRWIN,Automotive>Tools&Equipment
B000JV3CKA,"Belkin Power Strip Surge Protector - 6 AC Multiple Outlets - Flat Rotating Plug, 8 ft Long Heavy Duty Extension Cord for Home, Office, Travel, Computer Desktop & Charging Brick - White (720 Joules)",17.99,16.19,4.70,1.1000000000,Belkin,Electronics>Accessories&Supplies
B000JWSO9I,RaZbaby RaZberry Silicone Baby Teether Toy - Berrybumps Soothe Babies Sore Gums - Hands Free Design - BPA Free - Easy-to-Hold - Teething Relief Pacifier For Infant - Fruit Shape/Red,5.99,4.28,4.50,0.0400000000,RAZBABY,Toys&Games>Baby&ToddlerToys
B000KNNVJY,"Strathmore 300 Series Canvas Paper Pad, Glue Bound, 9x12 inches, 10 Sheets (115lb/187g) - Artist Paper for Adults and Students - Acrylic and Oil Paints",12.45,9.40,4.60,0.5000000000,Strathmore,"Arts,Crafts&Sewing>Painting,Drawing&ArtSupplies"
B000KZWKE4,C.R. Laurence CRL7708 CRL Windshield and Body Sealant,16.80,15.00,4.30,1.0000000000,‎C.R. Laurence,Automotive>CarCare
